Number,Fuente,Author,Year,Title,Publication,Pages,Language
4938,IMERNAR,"WOODHOUSE, S. W.",1853,"Description of a new snow finch of the genus Struthus, Boie.",Proc. Acad. Nat. Sci. Phila.,6; 202-203,en
693,IMERNAR,"BONAPARTE, C. L.",1853,"Notes sur les collections rapportées en 1853, par M. A. Delattre, de son voyage en Californie et dans le Nicaragua.",Compt. Rend. Acad. Sci.,"37:913-925; 38:1-11, 53-67, 258-266, 378-389, 533-542, 650-665",fr
1577,IMERNAR,"DUMÉRIL, A.",1853,Memoire sur les batraciens anoures de la famille des hylaeformes ou rainettes comprenant la description d'un genre nouveau et de onze espéces nouvelles.,"Ann. Sci. Nat., ser. 3",19:135-179,fr
1594,IMERNAR,"DUMÉRIL, A. M. C.",1853,Prodrome général de la classification des serpents.,Mem. Acad. Sci. Inst. France,23:399-536,fr
341,IMERNAR,"BAIRD, S. F.",1854,Descriptions of new genera and species of North American frogs.,Proc. Acad. Nat. Sci. Phila.,7:59-62,en
342,IMERNAR,"BAIRD, S. F.",1854,"Descriptions of new birds collected between Albuquerque, N. M., and San Francisco, California, during the winter of 1853-54, by Dr. C. B. R. Kennerly and H. B. Möllhausen, naturalists attached to the survey of the Pacific R. R. Route, under Lt. A. W. Whipple.",Proc. Acad. Nat. Sci. Phila.,7:118-120,en
1221,IMERNAR,"COUCH, D. N.",1854,Descriptions of new birds of northern Mexico.,"Proc. Aiad. Nat. Sci. Phila., 7(2):",66-67.,en
1846,IMERNAR,"GIRARD, C.",1854,"A list of the North American bufonids, with diagnoses of new species.","Proc. Acad. Nat. Sci. Phila.,",7: 86-88.,en
2161,IMERNAR,"HALLOWELL, E.",1854,Descriptions of new reptiles from California.,"Proc. Acad. Nat. Sci. Phila., 7",91-97,en
2162,IMERNAR,"HALLOWELL, E.",1854,Notices of new reptiles from Texas.,"Proc. Acad. Nat. Sci. Phila., 7",192-193,en
2223,IMERNAR,"HEERMANN, A. L.",1854,"Additions to North American orni-thology, with description of new species of the genera Actidu-rus, Podiceps and Podylymbus.","Proc. Acad. Nat. Sci. Phila., 7",177-180.,en
1602,IMERNAR,"DUMÉRIL, A. M. C., G. BIBRON Y A. DUMÉRIL.",1854,Erpétologie générale ou histoire naturelle compléte des reptiles.,"Paris, Lib. Encycl. Roret. v. 7",xvi+1536 p.,fr
343,IMERNAR,"BAIRD, S. F.",1855,"Characteristics of some new species of Mammalia, collected by the U. S. and Mexican Boundary Survey, Major W. H. Emory, U. S. A. Commissioner.",Proc. Acad. Nat. Sci. Phil.,7:331-333,en
344,IMERNAR,"BAIRD, S. F.",1855,Characteristics of some new species of North American mammals collected chiefly in connection with the U. S. surveys of a railroad routs to the Pacific.,Proc. Acad. Nat. Sci. Phila,7:333-336,en
2013,IMERNAR,,1855,Catalogue of shield reptiles in the collection of the British Museum. I. Testudinata.,"London, British Museum.",79 p.,en
3536,IMERNAR,"PETERS, W.",1856,"Systematische stellung der gattung Mormoops, die classification der Phyllostomata, sowie eine neue art der gattung Vampyrus.",Monatsb. Akad. Wiss. Berlin,pp. 409-415,de
2163,IMERNAR,"HALLOWELL, E.",1856,"Description of several species of Urodela, with remarks on the geographic distribution of the Caducibranchiate division of these animals and their classification.","Proc. Acad. Nat. Sci. Phila., 8",6/11/2025,en
2164,IMERNAR,"HALLOWELL, E.",1856,Notes on the reptiles in the collection of the Academy of Natural Sciences of Philadelphia.,"Proc. Acad. Nat. Sci. Phila., 8",221-238,en
3908,IMERNAR,"SCLATER, P. L.",1856,"Characters of an apparently undescribed bird belonging to the genus Campylorhynchus, of Spix, with remarks upon other species of the same group.","Proc. Acad. Nat. Sci. Phila., 8",263-264,en
3909,IMERNAR,NA,1856,Synopsis avium tanagrarum. A descriptive catalogue of the known species of tanagers. Part 2.,Proc. Zool. Soc. London,108-132,en
3910,IMERNAR,"SCLATER, P. L.",1856,"Catalogue of the birds collected by M. Auguste Salle in southern Mexico, with descriptions of new species.",Proc. Zool. Soc. London,24:283-311,en
1578,IMERNAR,NA,1856,Description des reptiles nouveaux ou imparfaitement connus de la collection du Muséum d'Histoire Naturelle et rémarques sur la classification et les caractéres des reptiles.,Arch. Mus. Hist. Nat. Paris,8:439-588,fr
6,IMERNAR,"AGASSIZ, L.",1857,Contributions to the natural history of the United States of America.,"Boston, Litile Brown & Co. v. 1",li+452 p.,en
345,IMERNAR,"BAIRD, S. F.",1857,"Catalogue of North American mammals, chiefly in the Museum of the Smithsonian Institution.","Smiths, Inst., Publ.","105, 21 p.",en
346,IMERNAR,"BAIRD, S. F.",1857,Mammals. In Reports of explorations and surveys for a railroad route from the Mississippi River to Pacific ocean.,"Washington, US War Dept. v. 8, Pt. 1",xlviii +-757 p.,en
347,IMERNAR,"BAIRD, S. F.",1857,Mammals of North America; the descriptions of species based chiefly on the collections in the Museum of the Smithsonian Institution.,"Philadelphia, J. B. Lippincott and Co. Pts. I-III",xxxiv + 764 p.,en
2165,IMERNAR,"HALLOWELL, E.",1857,Description of several new North American reptiles.,"Proc. Acad. Nat. Sci. Phila., 9",215-216,en
3911,IMERNAR,"SCLATER, P. L.",1857,"Notes on the birds in the Museum of the Academy of Natural Sciences of Philadelphia, and other collections in the United States of America.",Proc. Zool. Soc. London,1/8/2025,en
3912,IMERNAR,"SCLATER, P. L.",1857,On a collection of birds made by Signor Matteo Botteri in the vicinity of Orizaba in southern Mexico.,Proc. Zool. Soc. London,210-215,en
348,IMERNAR,"BAIRD, S. F.",1858,Birds. In Reports of explorations and surveys for a railroad route from the Mississippi River to Pacific ocean.,"Washington, US War Dept. v. 9",Ivi + 1005 p.,en
349,IMERNAR,"BAIRD, S. F.",1858,"Description of a phyllostome bat from California, in the Museum of the Smithsonian Institution.",Proc. Acad. Nat. Sci. Phila,10:116-117,en
350,IMERNAR,"BAIRD, S. F.",1858,Description of a new genera and species of North American lizards in the Museum of the Smithsonian Institution.,Proc. Acad. Nat. Sci. Phila.,pp. 253-256,en
2014,IMERNAR,,1858,"Notice of a new species of jaguar from Mazatlan, living in the gardens of the Zoological Society.","Prac. Zool. Soc. London, pt. 25",278,en
2092,IMERNAR,"GÜNTHER, A.",1858,On the systematic arrangement of the tailless batrachians and the structure of R. dorsalis.,Proc. Zool. Soc. London,339-352,en
2093,IMERNAR,NA,1858,Catalogue of the colubrine snakes in the collection of the British Museum.,"London, British Museum",xvi +281 p.,en
3813,IMERNAR,"SALVIN, P. L.",1858,On a collection of birds received by M. Auguste Sallé from Oaxaca in southern Mexico.,"Proc. Zool. Soc. London, 26",294-305.,en
3913,IMERNAR,"SCLATER, P. L.",1858,On the general geographical distribution of the members of the Class Aves.,Jour. Linnean Soc. London,2:130-145,en
3914,IMERNAR,"SCLATER, P. L.",1858,Description of eleven new species of birds from tropical America.,Proc. Zool. Soc. London,271-277,en
3915,IMERNAR,"SCLATER, P. L.",1858,On a collection of birds received by M. Auguste Salle from Oaxaca in southern Mexico.,Proc. Zool. Soc. London,294-305,en
3853,IMERNAR,"Saussure, H. de",1858,Observations sur les moeurs de divers oiseaux du Mexique.,"Arch. Sci. Phys. Nat., ser. 2","1: 331-338; ser. 2, 3:14-25, 168-182; ser. 2, 4:22-41 (1859).",fr
4945,IMERNAR,"XANTUS DE VESEY, J.",1858,"Descriptions of two new species of birds from the vicinity of Fort Tejon, California.",Proc. Acad. Nat. Sci. Phila.,p. 117,en
351,IMERNAR,"BAIRD, S. F.",1859,Reptiles of the boundary. In Report on the United States and Mexican Boundary Survey under the order of Licute-nant Colonel W. H. Emory.,"Washington, US Dept. Int. v. 2, Pt. 2",35 p.,en
352,IMERNAR,"BAIRD, S. F.",1859,Mammals of the boundary. In Report on the United States and Mexican Boundary Survey under the order of Lieutenant Colonel W. H. Emory.,"Washington, US Dept. Int. v. 2, Pt. 2",62 p.,en
353,IMERNAR,"BAIRD, S. F.",1859,Birds of the boundary. In Report on the United States and Mexican Boundary Survey under the order of Lieute-nant Colonel W. H. Emory.,"Washington, US Dept. Int. v. 2, Pt. 2",32 p.,en
354,IMERNAR,"BAIRD, S. F.",1859,"Notes on a collection of birds made by Mr. John Xantus, at Cape St. Lucas, Lower California, and now in the Museum of the Smithsonian Institution.",Proc. Acad. Nat. Sci. Phila.,11:299-306.,en
2094,IMERNAR,NA,1859,Catalogue of the Batrachia Salientia in the collection of the British Museum.,"London, British Museum",xvi + 160 ?.,en
3916,IMERNAR,"SCLATER, P. L.",1859,"On a series of birds collected in the vicinity of Jalapa, in southern Mexico.",Proc. Zool. Soc. London,362-369,en
3917,IMERNAR,"SCLATER, P. L.",1859,"List of birds collected by M. A. Boucard in the State of Oaxaca in southwestern Mexico, with descriptions of new species.",Proc. Zool. Soc. London,369-393,en
3918,IMERNAR,"SCLATER, P. L.",1859,"A list of the tyrant-birds of Mexico, with descriptions of some new species.",Ibis,1:436-445,en
3928,IMERNAR,"SCLATER, P. L. y O. SALVIN",1859,Contributions to the Ornithology of Central America.,Ibis,"1:1-22, 117-138, 213-234",en
4946,IMERNAR,,1859,"Descriptions of supposed new species of birds from Cape St. Lucas, Lower California.",Proc. Acad. Nat. Sci. Phila.,pp. 297-299,en
1003,IMERNAR,"CABANIS, 1.",1860,Uebersicht der in Berliner Museum befindlichen vögel von Costa Rica.,Jour. Ornith.,8:321-336,de
1003,IMERNAR,"CABANIS, 1.",1860,Uebersicht der in Berliner Museum befindlichen vögel von Costa Rica.,"Jour. Ornith., 8:321-336.",321-336,de
