Number,Fuente,Author,Year,Title,Publication,Pages,Language
4908,IMERNAR,"WIED, M. VON",1862,Verzeichnis der auf seiner reise nach Nord-Amerika beobachteten säugethiere,"Berlin, Nicolaische Verlagsbuchhandlung",240 p.,de
93,IMERNAR,"ALLEN, H.",1862,"Descriptions of two new species of Vespertilionidae, and some remarks on the genus Antrozous.","Proc. Acad. Nat. Sci. Phila.,",14:246-248.,en
1170,IMERNAR,"COPE, E. D.",1862,"Catalogues of the reptiles obtained during the explorations of the Paraná, Paraguay, Vermejo, and Uruguay rivers, by Capt. Thos, J. Page, U. S. N.; and of those procured by Lieut N. Michler, U. S. Top. Eng., Commander of the Expedition conducting the survey of the Atrato River.",Proc. Acad. Nat. Sci. Phila.,14:346-359,en
1222,IMERNAR,"COUES, E.",1862,"A revision of the guils of North America; based upon spécimens in the Museum of the Smithsonian Institution,","Proc. Acad. Nat. Sci. Phila., 14:",291-312.,en
3921,IMERNAR,"SCLATER, P. L.",1862,On some birds recently collected by M. Boucard in southern Mexico.,Proc. Zool. Soc. London,18-20,en
3922,IMERNAR,"SCLATER, P. L.",1862,Catalogue of a collection of American birds belonging to Philip Lutley Sclater.,"London, N. Trübner Co.",xvi +338 p.,en
4522,IMERNAR,"TOMES, R. F.",1862,"Report of a collection of mammals made by Osbert Salvin, Esq., F. Z. S., at Dueñas, Guatemala; with notes of some of the species, by M. Fraser.","Proc. Zool. Sec. London,",278-288.,en
3538,IMERNAR,"PETERS, W.",1863,Mittheilung über einige neue arten des saurier gattung Anolis.,Monatsb. Akad. Wiss. Berlin,pp. 135-149,de
1171,IMERNAR,"COPE, E. D.",1863,"On Trachycephalus, Scaphiopus and other American batrachia.",Proc. Acad. Nat. Sci. Phila.,15:43-54,en
1172,IMERNAR,"COPE, E. D.",1863,"Descriptions of new American Squamata in the Museum of the Smithsonian Institution, Washington.",Proc. Acad. Nat. Sci. Phila.,15:100-106,en
3805,IMERNAR,"SALVIN, O.",1863,Descriptions of thirteen new species of birds discovered in Central America by Frederick Godman and Osbert Salvin.,Proc. Zool. Soc. London,pp. 186-192.,en
4523,IMERNAR,NA,1863,On a new genus and species of leaf-nosed bats in the Muscum at Fort Pitt.,"Proc. Zool. Soc. London,",71-84.,en
3539,IMERNAR,"PETERS, W.",1864,"Mittheilung über neue arten der säugethiergattungen, Haplodon und Dasypus.",Monatsb. Akad. Wiss. Berlin,pp. 177-180,de
3540,IMERNAR,"PETERS, W.",1864,"Uber einige neue säugethiere, amphibien und fische.",Monatsb. Akad. Wiss. Berlin,pp. 381-399,de
94,IMERNAR,"ALLEN, H.",1864,Monograph of the bats of North America.,"Smithsonian Misc. Coll. v. 7, Publ. 165,",xxiii +85 p.,en
355,IMERNAR,"BAIRD, S. F.",1864,Review of American birds in the Museum of the Smithsonian Institution. I. North and Middle America.,"Smiths. Misc. Coll., no. 181",vi+176.,en
1173,IMERNAR,,1864,Contributions to the herpetology of tropical America.,Proc. Acad. Nat. Sci. Phila.,16:166-181.,en
1223,IMERNAR,,1864,"A critical review of the family Procellaridae. Part i, embracing the Proceijariee, or stormy petrels; Part II, embracing the Puffineae.","Proc. Acad. Nat. Sci. Phila., 16:","72-91, 116-144.",en
3923,IMERNAR,"SCLATER, P. L.",1864,List of a collection of birds procured by Mr. G. H. White in the vicinity of the City of Mexico.,Proc. Zool. Soc. London,172-179,en
4257,IMERNAR,"SUMICHRAST, F.",1864,Notes on the habits of some Mexican reptiles.,"Ann. Mag. Nat. Hist., ser. 3, 13",497-507.,en
4258,IMERNAR,"SUMICHRAST, F.",1864,Note sur les moeurs de quelques reptiles du Mexique.,"Arch. Sci. Phys. Nat. (Geneve), 19",45-61.,en
240,IMERNAR,ANÓNIMO.,1865,Nyere jagltagelser om axolotlen (Med treesnit.),tidoskr. pop. Fremstilling Natur.,3:325-330,da
3075,IMERNAR,"MEYER, R.",1865,Fortpflazung der kolbenmouche aus Mexiko (axolotl) ir: Paris.,"Zool. Garten,",6:352-353.,de
3228,IMERNAR,"MÜLLER, J. W. VON.",1865,"Reisen in den vereigniten staaten, Canada und Mexiko.","Leipzig, F. U. Brodhaus. v. 3, vi +",624 p,de
3541,IMERNAR,"PETERS, W.",1865,Uber die zu den Vampyri gehörigen flederthiere und über die naturliche stellung der gattung Antrozous.,Monatsb. Akad. Wiss. Berlin,pp. 503-524,de
239,IMERNAR,ANÓNIMO.,1865,Reproduction of the axolotl.,Nat. Hist. Rev.,454-495,en
1174,IMERNAR,,1865,Third contribution to the herpetology of tropical America.,Proc. Acad. Nat. Sci. Phila.,17:185-198.,en
1224,IMERNAR,,1865,A monograph of the Alcidae.,"Proc. Acad. Nat. Sci. Phila., 17:",2-81.,en
1840,IMERNAR,"GILL, T.",1865,Communication respecting a new generic type of the family Tapiridae- Elasmognathus bairdi.,Proc. Acad. Nat. Sci. Phila.,0.835416667,en
2015,IMERNAR,,1865,Revision of the genera and species of Mustelidae contained in the British Museum.,Proc. Zool. Soc. Landvn. pt. 1,100-154,en
1579,IMERNAR,NA,1865,"Reproduction, dans la ménagerie des reptiles au Muséum d'Histoire Naturelle, des axolotls, batraciens urodéles á branchies persistantes de Mexico (Siredon Mexicanus, vel Humboldti), qui n'avient encore jamais été vus vivants en Europe.",Compt. Rend. Acad. Sci. Paris,60(14):765-767,fr
1580,IMERNAR,NA,1865,Nouvelles observations sur les axolotls nés á la ménagerie.,Compt. Rend. Acad. Sci. Paris,61:775-778,fr
3141,IMERNAR,MINISTERE DE L'INSTRUCTION PUBLIQUE,1865,Archives de la Commission Scientifique du Mexique.,"Paris, Imp. Impériale.","v. 1, 467 p.",fr
3857,IMERNAR,"Saussure, H. de",1865,Note supplémentaire sur les mammiféres du Mexique.,"Rev. Mag. Zool., ser. 2",17:257-262.,fr
3801,IMERNAR,"SALVADORI, T.",1865,Descrizione di altre nuove specie di uccelli esistenti nel Museo di Torino.,"Atti Soc. Ital. Sci. Nat., 8",375-389.,it
2194,IMERNAR,"HARTING, P.",1865,Eijerlegging bevruchting en ontwikkeling van den axolotl.,Album Natuur.,44,nl
2195,IMERNAR,"HARTING, P.",1866,Metamorphose van den axolotl.,Album Natuur.,2/3/2025,de
3542,IMERNAR,"PETERS, W.",1866,"Mittheilung über neue oder ungenügend bekannte flederthiere (Vampyrops, Uroderma, Chiroderma, Ametrida, Tylostoma, Vespertilio, Vesperugo) und nager (Tylomys, Lasiomys).",Monatsb. Akad. Wiss. Berlin,pp. 392-411,de
95,IMERNAR,"ALLEN, H.",1866,Notes on the Vespertilionidae of Tropical America.,"Proc. Acad. Nat. Sci. Phila.,",18:279-288.,en
356,IMERNAR,"BAIRD, S. F.",1866,The distribution and migration of North Amer-ican birds.,Amer. Jour. Sci. Arts,"41:78-90, 184-192, 337-347.",en
1175,IMERNAR,,1866,On the structures and distribution of the genera of the arciferous Anura.,"Jour. Acad. Nat. Sci. Phila., ser. 2",6(1):67-112.,en
1176,IMERNAR,,1866,Fourth contribution to the herpetology of tropical America.,Proc. Acad. Nat. Sci. Phila.,18:123-132.,en
1177,IMERNAR,,1866,On the Reptilia and Batrachia of the Sonoran Province of the Neartic Region.,Proc. Acad. Nat. Sci. Phila.,18:300-314.,en
1178,IMERNAR,,1866,Fifth contribution to the herpetology of tropical America.,Proc. Acad. Nat. Sci. Phila.,18:317-327.,en
1225,IMERNAR,,1866,"List of the birds of Fort Whipple, Arizona; with which are incorporated all other species ascertained to irthabit the territory; with brief critical and ficid notes, descriptions of new species, etc.","Proc. Acad. Nat. Sci. Phila., 18:",39-100.,en
1581,IMERNAR,NA,1866,On the development of the axolotl (Siredon mexicanus vel Humboldtii).,"Ann. Mag. Nat. Hist., ser. 3",17:156-157,en
1680,IMERNAR,"ELLIOT, D. G.",1866,The birds of North America.,New York,,en
2016,IMERNAR,,1866,"Revision of the genera of Phyllostomidae, or leaf-nosed bats.","Proc. Zool. Soc. London, pt. 1",111-118,en
2017,IMERNAR,,1866,Notice of some species of spider monkeys (Ateles) in the collection of the British Museum.,"Proc. Zool. Sec. London, pt. 3(47)",732-733,en
2097,IMERNAR,NA,1866,Fifth account of new species of snakes in the collection of the British Museum.,"Ann. Mag. Nat. Hist., ser. 3",18:24-31,en
3237,IMERNAR,"MURRAY, A.",1866,The geographical distribution of mammals.,"London, Day and Son. xvi+",420 p,en
3924,IMERNAR,"SCLATER, P. L.",1866,On the systematic position of the pronhorn (Antilocapra americana).,"Ann. Mag. Nat. Hist., ser. 3",18:401-404,en
1582,IMERNAR,NA,1866,"Observations sur la reproduction dans la ménagerie des reptiles du Muséum d'Histoire Naturelle, des axolotls, batraciens urodéles á branchies extériures du Mexique, sur leur développement et sur leurs métamorphoses.",Nouv. Arch. Mus. Hist. Nat.,2:265-292,fr
1583,IMERNAR,NA,1866,"Observations faites á la ménagerie des reptiles du Muséum d'Histoire Naturelle sur reproduction des axolotls, batraciens urodéles á branchies extériures et sur les métamorphose qu'ils y ont subies.","Bull. Soc. Imp. Zool. Acclimatation, ser. 2",3:79-89,fr
1756,IMERNAR,"Wagner, J. A.",1867,Versuch einer naturlicher anordung der nagethiere.,Sitz. Akad. Wiss. Wien,55:453-515,de
2196,IMERNAR,"HARTING, P.",1867,Verkregen polydactylie der axolotls.,Album Natuur.,77,de
3543,IMERNAR,"PETERS, W.",1867,Ueber die zu den gattungen Mimon und Saccopteryx gehörigen flederthiere.,Monatsb. Akad. Wiss. Berlin,pp. 469-482,de
1584,IMERNAR,NA,1867,Experiments on the axolotl.,"Ann. Mag. Nat. Hist., ser. 3",20:446-449,en
2018,IMERNAR,,1867,Synopsis of the species of American squirrels in the collection of the British Museum.,"Ann. Mag. Nat. Hist., ser. 3, 20",415-433,en
3553,IMERNAR,"PHILIPEAUX, J. M.",1867,On the regeneration of the limbs in the axolotl (Siren pisciformis).,"Ann. Mag. Nat. Hist., ser. 3",0.936805556,en
1585,IMERNAR,NA,1867,"Métamorphoses des batraciens urodéles á branchies extérieures du Mexique dits axolotls, observeés á la ménagerie des reptiles, du Muséum d'Histoire Naturelle.","Ann. Sci. Nat., ser. 5",7:229-254,fr
1587,IMERNAR,parent,1867,"Expériences faites á la ménagerie des reptiles du Muséum d'Histoire Naturelle, sur les batraciens urodéles á branchies extérieures du Mexique, dits axolotls, et démontrant que la vie aquatique se continue sans trouble apparent aprés l'ablation des houppes branchiales.",Compt. Rend. Acad. Sci. Parts,242-246,fr
1589,IMERNAR,,1867,"Experiencés démontrant que la vie aquatique des axolotls, batraciens urodéles á branchies extérieures, se continue sans trouble apparent aprés l'ablation des houppes branchiales.",Nouv. Arch. Mus. Hist. Nai.,3:189-192,fr
1870,IMERNAR,"GODET, P.",1867,Sur les nouvelles observations de M. Duméril sur les axolotls (Siredon mexicanus vel Humboldtii).,Bull. Soc. Sci. Nat. Neuchatel,7:269-273,fr
3142,IMERNAR,MINISTERE DE L'INSTRUCTION PUBLIQUE,1867,Archives de la Commission Scientifique du Mexique.,"Paris, Imp. Impériale.","v. 2, 499 p.",fr
3554,IMERNAR,,1867,Sur la régéneration des membres chez l'axolotl (Siren pisciformis).,"Ann. Sci. Nat. Zool., ser. 5",0.456944444,fr
3555,IMERNAR,,1867,Sur la régéneration des membres chez l'axolotl (Siren pisciformis).,Compt. Rend. Acad. Sci.,64:1204-1205,fr
1588,IMERNAR,,1867,Description de diverses monstruosities observées á la ménagerie des reptiles du Muséum d'Histoire Naturelle sur les batraciens urodéles á branchies extérieures dits axolotls.,Nouv. Arch. Mus. Hist. Nat.,3:119-130,fr
4784,IMERNAR,"VULPIAN, A.",1867,Sur la reproduction das membres chez l'axolotl dans le cas de polydactylie acquise.,"Bull. Soc. Philom. Paris, ser. 6, 4",117,en
1671,IMERNAR,"EICHWALD, V.",1868,Mittheilung über den axolotl (brieflich an Prof. Geinitz),Sitz. Ges. Isis Dresden,pp. 23-24,de
3544,IMERNAR,"PETERS, W.",1868,Ueber die zeden Glossophaga gehörigen flederthiere und über neue art der gattung Coleuras.,Monatsb. Akad. Wis. Berlin,pp. 361-368,de
3545,IMERNAR,"PETERS, W.",1868,Ueber neue säugethiere und neue oder weniger bekannte amphibien.,Monatsb. Akad. Wiss. Berlin,pp. 637-642,de
901,IMERNAR,"BUTCHER, H. B.",1868,"Lists of birds collected at Laredo, Texas, in 1866 and 1867.",Proc. Acad. Nat. Sci. Phila.,pp. 148-150,en
1179,IMERNAR,,1868,"An examination of the Reptilia and Batrachia obtained by the Orton expedition to Ecuador and the upper Amazon, with notes on other species.",Proc. Acad. Nat. Sci. Phila.,20:96-140.,en
1180,IMERNAR,,1868,A review of the species of the Amblystomidae.,Proc. Acad. Nat. Sci. Phila.,20:166-211.,en
1181,IMERNAR,,1868,Sixth contribution to the herpetology of tropical America.,Proc. Acad. Nat. Sci. Phila.,20:305-313.,en
2019,IMERNAR,,1868,"Synopsis of the species of Saccomynne or pouched mice, in the collection of the British Museum.","Proc. Zool. Soc. London, pt. 1",199-306,en
2098,IMERNAR,NA,1868,Sixth account of new species of snakes in the collection of the British Museum.,"Ann. Mag. Nat. Hist., ser. 4",1:1-419,en
2099,IMERNAR,NA,1868,First accoun of species of tailless batrachians added to the collection of the British Museum.,Proc. Zool. Soc. London,478-490,en
3929,IMERNAR,"SCLATER, P. L. y O. SALVIN",1868,"Descriptions of new species of birds of the families Dendrocolaptidae, Strigidae, and Columbidae.",Proc. Zool. Soc. London,53-60,en
3930,IMERNAR,"SCLATER, P. L. y O. SALVIN",1868,"Descriptions of new or little-known American birds of the families Fringillidae, Oxyrhamphidae, Bucconidae, and Strigidae.",Proc. Zool. Soc. London,322-329,en
3931,IMERNAR,"SCLATER, P. L. y O. SALVIN",1868,Synopsis of the American Rallidae.,Proc. Zool. Soc. London,442-470,en
5008,IMERNAR,"BLÁZQUEZ, P.",1868,El cazador mexicano o el arte de la ca-cería en México y sus relaciones con la historia natural.,"Puebla, Pue.",,es
659,IMERNAR,"BOCOURT, M. F.",1868,Descriptions de quelques crotaliens nouveaux appartenant au genre Bothrops recueillis dans le Gua-témala.,"Ann. Sci. Nat ser. 5, 10",201-202,fr
660,IMERNAR,"BOCOURT, M. F.",1868,Description de quelques cheloniens nouveaux ap-partenant à la faune mexicaine.,"Ann. Sci. Nat., ser. 5, 10",121-122,fr
1506,IMERNAR,"Dugés, A.",1868,Apercu général sur la fauna de Guanajuato (Mexique).,Bull. Soc. Impé Zool. Acclimatation,546-578,fr
1216,IMERNAR,"CORNALIA, E.",1868,Gli axolotls del Museo Civico di Milano.,"Rend. R. Inst. Lombard, ser. 2, 1:",383-388.,it
3546,IMERNAR,"PETERS, W.",1869,Ueber neue gattungen und arten von eidenchsen.,Monatsb. Akad. Wiss. Berlin,pp. 57-66,de
3547,IMERNAR,"PETERS, W.",1869,"Eine mittheilung über mexicanische amphibien, welche Hr. Berkenbusch in Puebla auf veranlassung des Hrn. Legationsraths von Schlozer dem Zooligschen Museum gesandt hat.",Monatsb. Akad. Wiss. Berlin,pp. 874-881,de
1182,IMERNAR,,1869,A review of the species of the Plethodontidae and Desmognathidae.,Proc. Acad. Nat. Sci. Phila.,21:93-118.,en
1183,IMERNAR,,1869,Seventh contribution to the herpetology of tropical America.,Proc. Amer. Philos. Soc.,11:147-169.,en
1184,IMERNAR,,1869,On the origin of genera.,Proc. Acad. Nat. Sci. Phila.,20:242-300.,en
1226,IMERNAR,,1869,Ou variation in the genus Aegiothus.,"Proc. Acad. Nat. Sci. Phila., 21:",180-189.,en
1681,IMERNAR,,1869,The new heretofore unfigured species of the birds of North America.,New York.,38 pl,en
2100,IMERNAR,NA,1869,Exhibition of specimens of the ova and young of the axolotl (Siredon mexicanum).,Proc. Zool. Soc. London,319,en
3660,IMERNAR,"RIDGWAY, R.",1869,Notices of certain obscurely known species of American birds.,Proc. Acad. Nat. Sci. Phila.,21:125-136,en
3925,IMERNAR,"SCLATER, P. L.",1869,Description of a new species of Mexican wren.,Proc. Zool. Soc. London,591-592,en
3932,IMERNAR,"SCLATER, P. L. y O. SALVIN",1869,Notes on the species of the genus Asturina.,Proc. Zool. Soc. London,129-134,en
3933,IMERNAR,"SCLATER, P. L. y O. SALVIN",1869,On a collection of birds made by Mr. H. S. Le Strange near the City of Mexico.,Proc. Zool. Soc. London,361-364,en
4259,IMERNAR,"SUMICHRAST, F.",1869,"The geographical distribution of the native birds of the Department of Vera Cruz, with a list of the migratory species.","Mem. Boston Soc. Nat. Hist., 1",542-563.,en
614,IMERNAR,"BEULLOCH, M.",1869,El pájaro-mosca.,"La Naturaleza, ser. 1,",1:61-69.,es
3858,IMERNAR,"Saussure, H. de",1869,El zopilote. Observaciones sobre las costumbres de las aves de México.,"La Naturaleza, ser. 1",1:17-24.,es
3859,IMERNAR,"Saussure, H. de",1869,Los picos.,"La Naturaleza, ser. 1",1:129-133.,es
4260,IMERNAR,"SUMICHRAST, F.",1869,Notas acerca de las costumbres de algunos reptiles de México.,"La Naturaleza, ser. 1, 1","176-180, 203-206, 221-223.",es
610,IMERNAR,"BERT, P.",1869,Ablation chez au axolotl des branchies et des poumons.,"Compt. Rend. Mem. Soc. Biol. Paris, ser. 4,",5:21-22.,fr
4780,IMERNAR,"VILLADA, M. M., A. PEÑAFIEL y J. Sánchez.",1869,Aves del Valle de México.,"La Naturaleza, ser. 1, 1","94-100, 146-154",es
241,IMERNAR,ANÓNIMO.,1870,Kunstliche bildung eirler weissen rasse u metamor-phose des axoloti (auszug.).,Naturforscher,0.261111111,de
1592,IMERNAR,,1870,Künstliche züchtung der axolotl.,Lotos,20:150-151,de
1732,IMERNAR,"FINSCH, O.",1870,Uber eine vögelsammlung aus nordwest Mexico.,Abb. Ver. Brem.,pp. 321-363.,de
1162,IMERNAR,"COOPER, J. G.",1870,Geological Survey of California. Ornithology. Land Birds.,"Cambridge, Mass., Univ. Press. v. 1",xi +592 p.,en
2020,IMERNAR,,1870,Supplement to the catalogue of shield reptiles in the collection of the British Museum.,"London, British Museum.",120 p.,en
3661,IMERNAR,,1870,"A new classification of the North American Falconidae, with descriptions of three new species.",Proc. Nai. Sci. Phila.,22:138-150,en
3934,IMERNAR,"SCLATER, P. L. y O. SALVIN",1870,On some recent additions to the fauna of Mexico.,Proc. Zool. Soc. London,550-551,en
1507,IMERNAR,"Dugés, A.",1870,Catálogo de animales vertebrados observados en la República Mexicana.,"La Naturaleza, ser. 1, 1",137-145,es
1508,IMERNAR,"Dugés, A.",1870,Una nueva especie de ajolote de la Laguna de Pátzcuaro.,"La Naturaleza, ser. 1, 1",241-244,es
3860,IMERNAR,"Saussure, H. de",1870,Los Tordos.,"La Naturaleza, ser. 1",1:352-358.,es
4774,IMERNAR,"VILLADA, M. M.",1870,Apuntes para la mamalogía mexicana.,"La Naturaleza, ser. 1, 1",290-298.,es
1590,IMERNAR,,1870,Création d'une race blanche d'axolotls á la ménagerie des reptiles du Muséum d'Histoire Naturelle et remarques sur la transformation de ces batraciens.,"Bull. Soc. Imp. Zool. Acclimatation, ser. 2",7:267-270,fr
1591,IMERNAR,,1870,Création d'une race blanche d'axolotls á la ménagerie des reptiles du Muséum d'Histoire Naturelle et remarques sur la transformation de ces batraciens.,Compt. Rend. Acad. Sci. Paris,70:782-785,fr
