,Numero,Year,EXPEDIENTE,Nombre,NIVEL,Area,Disciplina,Subdisciplina,Especialidad,Institucion,Dependencia,Entidad,Pais,CVU
11306,298933,2017,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,"ECOLOGIA, BIOGEOGRAFIA",UNIVERSITY OF KANSAS,,EXTERIOR,MEXICO,NA
11307,326090,2018,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,"ECOLOGIA, BIOGEOGRAFIA",UNIVERSITY OF KANSAS,,EXTERIOR,MEXICO,NA
11308,354704,2019,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,"ECOLOGIA, BIOGEOGRAFIA",UNIVERSITY OF KANSAS,,EXTERIOR,MEXICO,NA
11309,385218,2020,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,"ECOLOGIA, BIOGEOGRAFIA",UNIVERSITY OF KANSAS,,EXTERIOR,MEXICO,NA
11317,418325,2022,2861,SOBERON_ MAINERO_ JORGE,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA,"ECOLOGIA, BIOGEOGRAFIA",NA,,NA,MEXICO,NA
11320,247052,2014,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,"ECOLOGIA, BIOGEOGRAFIA",UNIVERSITY OF KANSAS,,EXTERIOR,USA,2861
11312,170298,2010,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,"ECOLOGIA, BIOLOGIA DE LA CONSERVACION, BIODIVERSID",COMISION NACIONAL PARA EL CONOCIMIENTO Y USO DE LA BIODIVERSIDAD,No Disponible,Ciudad de Mexico,MEXICO,2861
11315,153802,2009,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA,"ECOLOGIA, BIOLOGIA DE LA CONSERVACION, BIODIVERSID",COMISION NACIONAL PARA EL CONOCIMIENTO Y USO DE LA BIODIVERSIDAD,No Disponible,Ciudad de Mexico,MEXICO,2861
11316,187785,2011,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,"ECOLOGIA, BIOLOGIA DE LA CONSERVACION, BIODIVERSID",COMISION NACIONAL PARA EL CONOCIMIENTO Y USO DE LA BIODIVERSIDAD,No Disponible,Ciudad de Mexico,MEXICO,2861
11319,206245,2012,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,"ECOLOGIA, BIOLOGIA DE LA CONSERVACION, BIODIVERSID",UNIVERSIDAD DE KANSAS,,EXTERIOR,USA,2861
11321,225850,2013,2861,SOBERON_ MAINERO_ JORGE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,"ECOLOGIA, BIOLOGIA DE LA CONSERVACION, BIODIVERSID",UNIVERSIDAD DE KANSAS,,EXTERIOR,USA,2861
11322,31524,1996,16585,SOKOLOV_ MICHAIL_ YURIEVICH,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,MICROBIOLOGIA,ECOLOGIA MICROBIANA,EL COLEGIO DE LA FRONTERA SUR (ECOSUR),UNIDAD TAPACHULA,Chiapas,MEXICO,NA
11323,403102,2020,204367,SOL_ SANCHEZ_ ANGEL,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,AGRONOMIA,ECOLOGIA,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,CAMPUS Tabasco,Tabasco,MEXICO,NA
11324,335801,2018,44555,SOLANO_ CAMACHO_ ELOY,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,"SISTEMATICA, ANATOMIA Y ECOLOGIA DE ANGIOSPERMAS",UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES ZARAGOZA,Ciudad de Mexico,MEXICO,NA
11325,364267,2019,44555,SOLANO_ CAMACHO_ ELOY,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA GENERAL,"SISTEMATICA, ANATOMIA Y ECOLOGIA DE ANGIOSPERMAS",UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES ZARAGOZA,Ciudad de Mexico,MEXICO,NA
11326,394790,2020,44555,SOLANO_ CAMACHO_ ELOY,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,"SISTEMATICA, ANATOMIA Y ECOLOGIA DE ANGIOSPERMAS",UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES ZARAGOZA,Ciudad de Mexico,MEXICO,NA
11330,498511,2024,590861,SOLDATINI_ CECILIA,1,NA,BIOLOGIA ANIMAL (ZOOLOGIA),NA,CONSERVACION ECOLOGICA,NA,NA,NA,MEXICO,NA
11331,170343,2010,121285,SOLIS_ MARIN_ FRANCISCO_ ALONSO,2,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OCEANOGRAFIA,SISTEMATICA Y ECOLOGIA DE EQUINODERMOS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,Ciudad de Mexico,MEXICO,121285
11332,153847,2009,121285,SOLIS_ MARIN_ FRANCISCO_ ALONSO,2,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OCEANOGRAFIA DESCRIPTIVA,SISTEMATICA Y ECOLOGIA DE EQUINODERMOS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,Ciudad de Mexico,MEXICO,121285
11333,187831,2011,121285,SOLIS_ MARIN_ FRANCISCO_ ALONSO,2,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMO,OCEANOGRAFIA,SISTEMATICA Y ECOLOGIA DE EQUINODERMOS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,Ciudad de Mexico,MEXICO,121285
11334,206289,2012,121285,SOLIS_ MARIN_ FRANCISCO_ ALONSO,2,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OCEANOGRAFIA,SISTEMATICA Y ECOLOGIA DE EQUINODERMOS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,Ciudad de Mexico,MEXICO,121285
11337,286986,2016,121285,SOLIS_ MARIN_ FRANCISCO_ ALONSO,2,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OCEANOGRAFIA,SISTEMATICA Y ECOLOGIA DE EQUINODERMOS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,Ciudad de Mexico,MEXICO,NA
11338,138365,2008,121285,SOLIS_ MARIN_ FRANCISCO_ ALONSO,2,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OCEANOGRAFIA,SISTEMATICA Y ECOLOGIA DE EQUINODERMOS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,Ciudad de Mexico,MEXICO,121285
11335,247095,2014,121285,SOLIS_ MARIN_ FRANCISCO_ ALONSO,2,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OCEANOGRAFIA,SISTEM-TICA Y ECOLOGIA DE EQUINODERMOS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,Ciudad de Mexico,MEXICO,121285
11339,490674,2023,175450,SOLIS_ MONTERO_ LISLIE,1,II.- BIOLOGIA Y QUIMICA,BOTANICA,NA,ECOLOGIA VEGETAL,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA/ EL COLEGIO DE LA FRONTERA SUR,NA,NA,MEXICO,NA
11340,515923,2024,175450,SOLIS_ MONTERO_ LISLIE,2,NA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
11341,534065,2024,259666,SOLIS_ SANTOYO_ FRANCISCO,C,NA,BIOLOGIA DE INSECTOS (ENTOMOLOGIA),NA,ECOLOGIA DE LOS INSECTOS,NA,NA,NA,MEXICO,NA
11354,123837,2007,79547,SOLORZANO_ LUJANO_ SOFIA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,BIOLOGIA DE LA CONSERVACION (ECOLOGIA Y GENETICA),UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,Mexico,MEXICO,79547
11355,153875,2009,79547,SOLORZANO_ LUJANO_ SOFIA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,BIOLOGIA DE LA CONSERVACION (ECOLOGIA Y GENETICA),UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,Mexico,MEXICO,79547
11362,138392,2008,79547,SOLORZANO_ LUJANO_ SOFIA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,BIOLOGIA DE LA CONSERVACION (ECOLOGIA Y GENETICA),UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,Mexico,MEXICO,79547
11356,187863,2011,79547,SOLORZANO_ LUJANO_ SOFIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA MOLECULAR,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,Mexico,MEXICO,79547
11357,206324,2012,79547,SOLORZANO_ LUJANO_ SOFIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA MOLECULAR,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,Mexico,MEXICO,79547
11358,225934,2013,79547,SOLORZANO_ LUJANO_ SOFIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA MOLECULAR,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,Mexico,MEXICO,79547
11359,336502,2018,79547,SOLORZANO_ LUJANO_ SOFIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA MOLECULAR,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,No Disponible,Mexico,MEXICO,NA
11360,364986,2019,79547,SOLORZANO_ LUJANO_ SOFIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA MOLECULAR,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,Mexico,MEXICO,NA
11361,395539,2020,79547,SOLORZANO_ LUJANO_ SOFIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA MOLECULAR,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,Mexico,MEXICO,NA
11363,428571,2022,79547,SOLORZANO_ LUJANO_ SOFIA,1,II.- BIOLOGIA Y QUIMICA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,,ECOLOGIA MOLECULAR,NA,COORDINACION DE INVESTIGACION CIENTIFICA,NA,MEXICO,NA
11353,170371,2010,79547,SOLORZANO_ LUJANO_ SOFIA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA,ECOLOGIA Y GENETICA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,Mexico,MEXICO,79547
11364,735,1991,11030,SORANI_ DAL_ BON_ VALENTINO,C,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,AGRONOMIA,EDAFOLOGIA,SISTEMAS DE INFORMACION GEOGRAFICA ECOLOGIA,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,Mexico,MEXICO,NA
11365,19721,1994,11030,SORANI_ DAL_ BON_ VALENTINO,C,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,AGRONOMIA,EDAFOLOGIA,SISTEMAS DE INFORMACION GEOGRAFICA ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,ESCUELA NACIONAL DE ESTUDIOS PROFESIONALES ARAGON,Mexico,MEXICO,NA
11366,25618,1995,11030,SORANI_ DAL_ BON_ VALENTINO,C,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,AGRONOMIA,EDAFOLOGIA,SISTEMAS DE INFORMACION GEOGRAFICA ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE GEOGRAFIA,Ciudad de Mexico,MEXICO,NA
11367,31506,1996,11030,SORANI_ DAL_ BON_ VALENTINO,C,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,AGRONOMIA,EDAFOLOGIA,SISTEMAS DE INFORMACION GEOGRAFICA ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE GEOGRAFIA,Ciudad de Mexico,MEXICO,NA
11368,37512,1997,11030,SORANI_ DAL_ BON_ VALENTINO,1,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,INGENIERIA DE COM. ELECT. Y CONTROL,COMPUTACION,SISTEMAS DE INFORMACION GEOGRAFICA ECOLOGIA,UNIVERSIDAD AUTONOMA METROPOLITANA,DIVISION DE CIENCIAS BIOLOGICAS Y DE LA SALUD. IZTAPALAPA,Ciudad de Mexico,MEXICO,NA
11369,43854,1998,11030,SORANI_ DALBON_ VALENTINO,1,VIII.- INGENIERIAS Y DESARROLLO TECNOLOGICO,INGENIERIA DE COM. ELECT. Y CONTROL,COMPUTACION,SISTEMAS DE INFORMACION GEOGRAFICA ECOLOGIA,UNIVERSIDAD AUTONOMA METROPOLITANA,DIVISION DE CIENCIAS BIOLOGICAS Y DE LA SALUD. IZTAPALAPA,Ciudad de Mexico,MEXICO,NA
11370,123847,2007,11030,SORANI_ DALBON_ VALENTINO,1,VI.- CIENCIAS SOCIALES,GEOGRAFIA,GEOGRAFIA ECONOMICA,SISTEMAS DE INFORMACION GEOGRAFICA ECOLOGIA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE EDUCACION AMBIENTAL E INVEST. SIERRA DE HUAUTLA,Morelos,MEXICO,120330
11371,138402,2008,11030,SORANI_ DALBON_ VALENTINO,1,VI.- CIENCIAS SOCIALES,GEOGRAFIA,,SISTEMAS DE INFORMACION GEOGRAFICA ECOLOGIA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE EDUCACION AMBIENTAL E INVEST. SIERRA DE HUAUTLA,Morelos,MEXICO,120330
11372,490774,2023,160902,SORIA_ BARRETO_ MIRIAM,1,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA/ UNIVERSIDAD AUTONOMA DE CAMPECHE,NA,NA,MEXICO,NA
11376,521990,2024,160902,SORIA_ BARRETO_ MIRIAM,1,NA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
11377,507843,2024,255820,SORIA_ DIAZ_ LEROY,1,NA,PECES Y FAUNA SILVESTRE,NA,ECOLOGIA ANIMAL,NA,NA,NA,MEXICO,NA
11378,529801,2024,163532,SORIANO_ FERNANDEZ_ DIANA,1,NA,FISIOLOGIA VEGETAL,NA,ECOLOGIA VEGETAL,NA,NA,NA,MEXICO,NA
11380,417479,2020,103137,SORTIBRAN_ MARTINEZ_ ROCIO_ LUGUI,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA,ECOLOGIA DE COMUNIDADES,SECRETARIA DE EDUCACION DE LA Ciudad de Mexico,,Ciudad de Mexico,MEXICO,NA
11379,490815,2023,103137,SORTIBRAN_ MARTINEZ_ ROCIO_ LUGUI,C,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,"INSTITUTO DE ESTUDIOS SUPERIORES DE LA Ciudad de Mexico ""ROSARIO CASTELLANOS""",NA,NA,MEXICO,NA
11387,448778,2022,438815,SOSA_ CABRERA_ EDWIN,1,"VII. CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",CIENCIAS AGRARIAS,OTRAS ESPECIALIDADES AGRARIAS,AGROECOLOGIA,NA,,NA,MEXICO,NA
11388,490832,2023,87234,SOSA_ CORNEJO_ INGMAR,1,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,CONSERVACION ECOLOGICA,UNIVERSIDAD AUTONOMA DE SINALOA (UAS),NA,NA,MEXICO,NA
11389,507551,2024,87234,SOSA_ CORNEJO_ INGMAR,1,NA,ECOLOGIA,NA,CONSERVACION ECOLOGICA,NA,NA,NA,MEXICO,NA
11401,275972,2016,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,AGROECOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",RED DE ECOLOGIA FUNCIONAL,Veracruz,MEXICO,NA
11402,301013,2017,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,AGROECOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",RED DE ECOLOGIA FUNCIONAL,Veracruz,MEXICO,NA
11403,328113,2018,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,AGROECOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",RED DE ECOLOGIA FUNCIONAL,Veracruz,MEXICO,NA
11404,356692,2019,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA ANIMAL,AGROECOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",RED DE ECOLOGIA FUNCIONAL,Veracruz,MEXICO,NA
11405,387152,2020,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,AGROECOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",RED DE ECOLOGIA FUNCIONAL,Veracruz,MEXICO,NA
11406,420168,2022,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA ANIMAL Y ZOOLOGIA,ECOLOGIA ANIMAL,AGROECOLOGIA,NA,,NA,MEXICO,NA
11397,206368,2012,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,ECOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",DIVISION DE ECOLOGIA,Veracruz,MEXICO,11150
11398,225979,2013,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,ECOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",DIVISION DE ECOLOGIA,Veracruz,MEXICO,11150
11399,247181,2014,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,ECOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",RED DE ECOLOGIA FUNCIONAL,Veracruz,MEXICO,11150
11400,252704,2015,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA ANIMAL,ECOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",RED DE ECOLOGIA FUNCIONAL,Veracruz,MEXICO,NA
11391,63497,2000,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,ECOLOGIA DE COMUNIDADES: INTERACCION ANIMAL-PLANTA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",No Disponible,Veracruz,MEXICO,NA
11392,71444,2001,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,ECOLOGIA DE COMUNIDADES: INTERACCION ANIMAL-PLANTA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",No Disponible,Veracruz,MEXICO,NA
11393,80518,2002,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,ECOLOGIA DE COMUNIDADES: INTERACCION ANIMAL-PLANTA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",No Disponible,Veracruz,MEXICO,NA
11394,89717,2003,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,ECOLOGIA DE COMUNIDADES: INTERACCION ANIMAL-PLANTA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",No Disponible,Veracruz,MEXICO,NA
11395,110651,2005,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,ECOLOGIA DE COMUNIDADES: INTERACCION ANIMAL-PLANTA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",No Disponible,Veracruz,MEXICO,NA
11396,123873,2007,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,ECOLOGIA DE COMUNIDADES: INTERACCION ANIMAL-PLANTA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)","INSTITUTO DE ECOLOGIA, A.C.",Veracruz,MEXICO,11150
11390,490838,2023,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,INSTITUTO DE ECOLOGIA A.C. (INECOL),NA,NA,MEXICO,NA
11407,498025,2024,11150,SOSA_ FERNANDEZ_ VINICIO_ DE_ JESUS,2,NA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
11409,123877,2007,81582,SOSA_ LOPEZ_ ATAHUALPA,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA DE LA ZONA COSTERA,UNIVERSIDAD AUTONOMA DE CAMPECHE,"PROGRAMA DE ECOLOGIA, PESQUERIAS Y OCEANOGRAFIA DEL...EPOMEX",Campeche,MEXICO,81582
11410,153917,2009,81582,SOSA_ LOPEZ_ ATAHUALPA,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,,ECOLOGIA DE LA ZONA COSTERA,UNIVERSIDAD AUTONOMA DE CAMPECHE,"CENTRO DE ECOLOGIA, PESQUERIAS Y OCEANOGRAFIA DEL GO..EPOMEX4310A00431",Campeche,MEXICO,81582
11417,138433,2008,81582,SOSA_ LOPEZ_ ATAHUALPA,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA DE LA ZONA COSTERA,UNIVERSIDAD AUTONOMA DE CAMPECHE,"CENTRO DE ECOLOGIA, PESQUERIAS Y OCEANOGRAFIA DEL GO..EPOMEX4310A00431",Campeche,MEXICO,81582
11408,170416,2010,81582,SOSA_ LOPEZ_ ATAHUALPA,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA DE RECURSOS FAUNISTICOS EN ZONAS COSTERAS,UNIVERSIDAD AUTONOMA DE CAMPECHE,"CENTRO DE ECOLOGIA, PESQUERIAS Y OCEANOGRAFIA DEL GO..EPOMEX",Campeche,MEXICO,81582
11412,206374,2012,81582,SOSA_ LOPEZ_ ATAHUALPA,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA DE RECURSOS FAUNISTICOS EN ZONAS COSTERAS,UNIVERSIDAD AUTONOMA DE CAMPECHE,"CENTRO DE ECOLOGIA, PESQUERIAS Y OCEANOGRAFIA DEL GO..EPOMEX",Campeche,MEXICO,81582
